,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,0.625,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,(+/-)
45,D'Angelo Russell,BKN,22,43,21,22,29.3,18.3,7.2,16.8,42.9,2.4,6.7,35.6,1.6,1.9,81.7,0.5,3.3,3.8,6.3,2.9,1.1,0.3,1.7,33.6,4,0,-0.3
46,Jamal Murray,DEN,21,41,28,13,34.2,18.3,7,16.5,42.5,1.7,5.2,33.5,2.6,3.1,82.2,1,3.6,4.7,5,2.6,0.9,0.4,2.1,32.7,2,0,3.3
47,Harrison Barnes,DAL,26,38,18,20,32,18.1,6.1,14.5,41.8,2.6,6.3,41.3,3.4,4.1,83.9,0.8,3.4,4.2,1.1,1.4,0.8,0.3,1.7,26.6,1,0,-1.9
48,Josh Richardson,MIA,25,40,20,20,34.8,18,6.2,15.3,40.8,2.5,6.7,37.5,3.1,3.6,86,0.9,3.1,3.9,3.9,1.8,1.1,0.5,2.9,31.8,1,0,2.3
49,De'Aaron Fox,SAC,21,43,22,21,31.5,17.9,6.5,13.6,47.4,1.1,3,37.7,3.9,5.3,72.2,0.6,3,3.6,7.2,3,1.8,0.6,2.5,37.1,9,1,1.3
50,Andrew Wiggins,MIN,23,39,20,19,34.4,17.9,6.5,16.1,40.3,1.7,4.9,34.4,3.2,4.4,74.1,0.9,3.3,4.2,2.3,1.7,1.1,0.6,2,29.6,1,0,1
51,Khris Middleton,MIL,27,39,27,12,31.3,17.8,6.2,14.2,43.6,2.6,6.8,38.3,2.9,3.4,85,0.4,5.2,5.6,4.1,2.2,1.2,0.1,2.6,32.5,1,0,6.5
52,Clint Capela,HOU,24,41,24,17,34.1,17.6,7.5,11.9,63,0,0,0,2.6,4.2,62.8,5,7.7,12.6,1.4,1.6,0.6,1.9,2.7,40.8,28,0,0.9
53,Jordan Clarkson,CLE,26,42,7,35,26.5,17.1,6.8,14.9,45.7,1.8,5.3,33.8,1.8,2.1,85.2,1,2.3,3.3,2.2,1.7,0.8,0.2,1.7,25.8,1,0,-5.5
54,Nikola Mirotic,NOP,27,27,12,15,29.6,17,5.9,13.1,45.3,2.5,7.2,35.1,2.7,3.2,82.8,1.5,7.4,8.9,1,1.2,0.7,0.7,2.5,32.3,11,0,1.1
55,Spencer Dinwiddie,BKN,25,44,21,23,28.5,16.9,5.5,12,45.5,1.9,5.3,36.4,4.1,5.1,79.6,0.4,2.1,2.5,5,2.3,0.6,0.2,2.8,27.7,1,0,-1.5
56,Andre Drummond,DET,25,41,18,23,33.4,16.8,7,14,50.3,0.1,0.7,13.8,2.6,5,51.9,5.2,9.8,15,1.2,2.6,1.6,1.8,3.5,44.1,34,0,-1.1
57,Deandre Ayton,PHX,20,44,11,33,31,16.6,7.3,12.2,59.7,0,0,0,2.1,2.7,77.8,3.1,7.5,10.7,2.1,1.8,0.8,1,2.9,35.9,26,0,-4.8
58,Ben Simmons,PHI,22,42,27,15,33.4,16.5,6.7,11.6,57.6,0,0,0,3.2,5.6,57,2.1,7,9.1,8.1,3.5,1.4,0.7,2.6,42.5,27,7,1.3
59,Lauri Markkanen,CHI,21,20,5,15,31.2,16.5,6.2,14.4,43.1,2.3,6.1,36.9,1.9,2.3,82.2,1.1,6,7.1,1.1,1.7,1,0.8,2.3,30.1,4,0,-7.4
60,Brandon Ingram,LAL,21,32,18,14,32,16.3,6.3,13.5,46.4,0.5,1.8,30.4,3.2,5.1,62.2,0.8,3.9,4.8,2.6,2.5,0.6,0.7,2.6,27.3,1,0,1.4
61,Bojan Bogdanovic,IND,29,42,28,14,31.6,16.2,5.8,11.5,50,2,4.4,44.6,2.7,3.3,81.3,0.6,3.4,4,1.7,1.6,0.9,0,1.5,24.7,0,0,3
62,Jayson Tatum,BOS,20,42,25,17,31,16.2,5.9,13.3,44.5,1.7,4.7,36.7,2.6,3,85.8,1,5.3,6.3,1.7,1.5,1.1,0.7,2.2,30,4,0,6
63,Serge Ibaka,TOR,29,40,30,10,28.1,16.1,6.7,12.5,53.4,0.8,2.7,29.2,2,2.5,80.6,1.9,5.4,7.3,1.5,1.9,0.5,1.4,3.1,31,4,0,6.2
64,Gary Harris,DEN,24,25,17,8,31.3,16,5.8,13.5,43.2,1.7,5.2,33.3,2.6,3.2,80.2,0.8,2.6,3.3,2.8,1.1,1,0.4,2.2,27.2,0,0,4.6
65,Montrezl Harrell,LAC,24,42,24,18,25.3,15.8,6.2,9.8,63,0,0.1,25,3.4,5.5,62.4,2.4,4.3,6.8,1.7,1.3,0.9,1.5,2.9,32.4,10,0,0.9
66,Marc Gasol,MEM,33,42,19,23,34.2,15.7,5.6,12.8,44,1.5,4.2,36,3,3.8,77,1,7.6,8.6,4.5,2.1,1.3,1.4,2.9,38.7,15,0,-0.1
67,Malcolm Brogdon,MIL,26,38,27,11,29.6,15.7,6,11.4,52.2,1.6,3.7,43,2.1,2.2,98.8,1,3.6,4.7,3.5,1.7,0.6,0.2,1.6,27.4,0,0,5.8
68,Eric Gordon,HOU,30,32,18,14,33.1,15.7,5.6,14.6,38.1,2.6,8.5,30.3,2,2.5,77.8,0.4,2,2.4,2.2,1.5,0.5,0.4,2.2,23.1,0,0,2.1
69,Chris Paul,HOU,33,26,16,10,33.2,15.6,5.3,12.7,41.5,2,5.8,35.3,3,3.7,81.3,0.6,3.4,4,8,3,2.1,0.3,2.6,36.6,6,1,0.8
70,Trae Young,ATL,20,42,13,29,29.5,15.6,5.5,13.8,39.4,1.5,5.1,29.1,3.2,4,79.3,0.6,2.3,2.9,7.2,4,1,0.3,1.6,29.5,12,0,-6.5
71,Marcus Morris,BOS,29,38,23,15,27.4,15.6,5.5,11,50.1,2.3,5.2,45.2,2.2,2.6,86.6,0.8,5.2,6,1.4,1.3,0.6,0.3,2.6,26.2,3,0,5
72,Aaron Gordon,ORL,23,40,17,23,33.5,15.5,5.8,13.1,44.4,1.5,4.3,35.3,2.4,3.3,71.2,1.7,6,7.6,3.3,1.9,0.8,0.7,2.3,32.3,11,0,-0.6
73,Steven Adams,OKC,25,41,25,16,33.9,15.4,6.4,10.6,60.1,0,0,0,2.6,4.7,55.2,4.7,5.4,10.1,1.7,1.5,1.5,0.8,2.6,35.3,18,0,7.3
74,Dennis Schroder,OKC,25,41,25,16,29.3,15.3,5.9,14.3,40.9,1.3,4.1,31.1,2.3,2.8,82.6,0.5,3.1,3.7,4.4,2.5,1,0.2,2.4,27.3,1,0,2.9
75,Bogdan Bogdanovic,SAC,26,31,15,16,28,15.3,5.6,13,42.9,2.1,5.8,36.9,2,2.5,80.5,0.5,3.3,3.7,3.9,1.7,0.9,0.2,1.9,27,0,0,0.7
76,Goran Dragic,MIA,32,14,6,8,29.1,15.3,5.5,13.4,41,1.6,5,31.4,2.7,3.6,76,0.6,2.5,3.1,4.9,2.5,0.7,0.3,2.1,26.8,1,0,2.1
77,Jusuf Nurkic,POR,24,43,26,17,27,15.2,5.7,11.2,51.5,0.1,0.6,12.5,3.7,5,74.2,3.4,7,10.4,2.9,2.3,1.1,1.4,3.1,37.3,21,0,4.7
78,Domantas Sabonis,IND,22,40,26,14,25.5,15.2,6,9.7,62.2,0.1,0.2,71.4,3.1,4,77.4,2.7,7.1,9.7,3,2.3,0.7,0.5,3.1,32.5,19,0,3.4
79,Jeremy Lamb,CHA,26,39,18,21,29.1,15.1,5.5,12.4,44.6,1.3,3.7,34.5,2.7,3.2,85.6,0.8,4.8,5.6,1.9,0.9,1,0.3,2,27.6,3,0,0.3
80,Eric Bledsoe,MIL,29,41,29,12,29.5,15.1,5.8,12,48.4,1.4,4.6,31,2,2.8,74.3,1.1,3.4,4.5,5.6,2.3,1.4,0.4,2.3,32,3,0,6.5
81,Taurean Prince,ATL,24,21,5,16,28.7,15,5.2,12.1,43.1,2.4,6.6,36.7,2.1,2.6,83.3,0.3,3.7,4,2.3,2.6,1.1,0.3,3,25.1,0,0,-8.5
82,Pascal Siakam,TOR,24,43,32,11,30.6,15,5.9,10.2,57.3,0.7,2.1,33.7,2.6,3.3,77.1,1.5,5.2,6.6,2.8,1.8,1,0.7,3,30.3,8,0,6.9
83,Jabari Parker,CHI,23,31,6,25,29.2,14.7,5.9,13.1,45.2,0.9,3.1,29.5,2,2.8,72.4,1.1,5.7,6.8,2.2,2.5,0.6,0.3,2.2,26.5,5,0,-6.4
84,Evan Fournier,ORL,26,41,18,23,30.6,14.7,5.6,13.1,42.9,2,6,33.9,1.5,1.9,75.9,0.5,2.5,3,3.6,2.1,0.8,0.2,2.9,24.6,1,0,-0.8
85,Reggie Jackson,DET,28,41,18,23,28.4,14.7,5,12.4,40.1,2,5.8,33.9,2.8,3.2,86.5,0.7,2.1,2.7,4.2,2,0.7,0.1,2.9,24.8,0,0,-2.5
